ADM2_NAME,tahun,bulan,probabilitas_risiko_historis,total_hujan_lag2,total_hujan_lag3,max_hth_lag2,max_hth_lag3,kat_value_lag2,kat_value_lag3,hujan_akumulasi_vegetatif,max_hth_vegetatif,rasio_hujan_lag2,rasio_hujan_lag3,rasio_kat_lag2,rasio_kat_lag3,STATUS_PANEN,Prob_Waspada(%),Prob_Kritis(%),FAKTOR_DOMINAN
PACITAN,2026,5,0.3452380952380952,324.51172627666256,483.0998928169349,3.804110842972456,1.2250977781476242,284.96432378414386,284.96432378414386,807.6116190935975,3.804110842972456,0.9832699948115132,1.3678406638974507,0.683391215612134,0.6788853573175855,⚠️ WASPADA,52.4,0.0,probabilitas_risiko_historis
PACITAN,2026,6,0.3452380952380952,220.172034532484,324.51172627666256,6.347923774652575,3.804110842972456,284.69902898067954,284.96432378414386,544.6837608091465,6.347923774652575,1.2874809459246226,0.9832699948115132,0.7059896193755448,0.683391215612134,⚠️ WASPADA,60.0,0.1,total_hujan_lag2
PACITAN,2026,7,0.3452380952380952,130.91705680350182,220.172034532484,15.0,6.347923774652575,267.36848934043974,284.69902898067954,351.0890913359858,15.0,1.0,1.2874809459246226,0.7196898507611653,0.7059896193755448,✅ AMAN,46.8,0.1,probabilitas_risiko_historis
PAMEKASAN,2026,5,0.2142857142857142,242.18710593844,355.6539289256303,10.944942005579213,3.2909998531786813,231.1302892379973,231.1302892379973,597.8410348640703,10.944942005579213,0.9168875873928072,1.3767114033036476,0.5913747151406815,0.593733935889368,✅ AMAN,29.6,0.0,probabilitas_risiko_historis
PAMEKASAN,2026,6,0.2142857142857142,151.75990208821966,242.18710593844,10.154602848333576,10.944942005579213,230.99377477609744,231.1302892379973,393.94700802665966,10.944942005579213,0.7589163964831968,0.9168875873928072,0.6109551850799604,0.5913747151406815,✅ AMAN,9.7,0.2,probabilitas_risiko_historis
PAMEKASAN,2026,7,0.2142857142857142,103.31712456951182,151.75990208821966,15.0,10.154602848333576,203.11639700484503,230.99377477609744,255.0770266577315,15.0,1.0,0.7589163964831968,0.588411033884881,0.6109551850799604,✅ AMAN,7.9,0.1,probabilitas_risiko_historis
PASURUAN,2026,5,0.2857142857142857,327.1953347623619,430.2788751434429,4.119566842523953,1.895401262398557,286.35764162285705,283.476379409901,757.4742099058049,4.119566842523953,1.3471590344595776,1.3997798647861133,0.8577644989434249,0.8405154523865532,✅ AMAN,26.9,0.0,probabilitas_risiko_historis
PASURUAN,2026,6,0.2857142857142857,149.8339210973847,327.1953347623619,7.974984546109304,4.119566842523953,285.53922012630164,286.35764162285705,477.02925585974657,7.974984546109304,1.005648857537498,1.3471590344595776,0.8937499315922776,0.8577644989434249,✅ AMAN,23.3,0.1,probabilitas_risiko_historis
PASURUAN,2026,7,0.2857142857142857,92.99998148170424,149.8339210973847,15.0,7.974984546109304,255.0276886753786,285.53922012630164,242.8339025790889,15.0,1.0,1.005648857537498,0.8636834668720613,0.8937499315922776,✅ AMAN,7.5,0.2,probabilitas_risiko_historis
PONOROGO,2026,5,0.238095238095238,355.3725826461993,464.5634698378651,3.3143461701227257,1.282776132035548,267.0807024968262,267.0807024968262,819.9360524840645,3.3143461701227257,1.080048316883314,1.3813239331992575,0.5628858140009337,0.5624394732038239,✅ AMAN,19.6,0.0,probabilitas_risiko_historis
